order_id,service_rating,delivery_rating,food_quality_rating
192830,2,5,1
47134,2,2,4
171336,4,4,4
199447,4,5,4
186569,3,3,4
56048,5,4,3
28234,4,3,5
174271,3,4,4
139352,5,4,4
191761,4,3,1
179959,4,5,5
149555,4,4,4
4485,5,5,2
65685,2,4,5
157658,4,5,4
75153,1,5,4
90803,2,5,5
58123,4,5,3
163795,4,5,3
56861,5,5,4
165539,3,5,2
10467,4,5,5
58654,4,3,3
64683,4,5,3
30359,4,1,4
184785,4,3,3
62094,4,1,4
33855,2,5,5
107243,5,1,3
55150,5,4,1
10325,4,5,4
176439,2,4,3
183733,4,3,4
170738,4,5,3
155893,5,4,3
75562,3,5,3
107102,3,3,4
170158,4,4,4
169653,4,2,1
30481,4,4,4
157850,5,5,4
137361,4,5,4
31177,4,2,4
100408,5,4,4
121934,5,2,4
95035,4,4,5
193573,3,4,4
137024,5,2,3
61001,5,1,5
99030,3,3,5
25557,5,2,4
106416,2,4,4
160805,2,1,5
101465,4,5,3
57683,5,3,4
166249,2,4,4
93666,3,4,5
107990,4,4,4
195482,5,3,3
30370,4,4,5
17115,3,1,5
93532,5,4,4
147715,3,5,5
99301,2,3,5
31559,5,5,5
143754,3,3,4
184691,3,5,4
99467,5,4,5
14424,3,4,5
104776,2,2,5
121288,1,2,3
195979,5,3,5
20374,4,4,2
7670,4,3,5
92384,3,2,5
68554,4,3,4
83173,2,2,5
48783,2,5,5
170000,4,4,4
97053,2,3,4
26481,2,4,4
15595,4,3,2
188430,4,4,5
132391,5,4,2
17177,2,1,4
73349,4,5,4
43362,4,4,2
79884,3,4,1
26848,4,4,4
181780,4,2,3
38129,4,5,4
16507,3,4,4
59970,5,5,2
30157,4,2,4
146368,4,3,5
42810,4,4,2
34661,5,4,1
51342,4,4,3
117177,4,5,5
20294,1,5,5
192613,4,4,4
48732,5,4,5
136340,5,5,4
8266,3,5,5
107027,2,1,3
157287,3,4,4
143355,5,3,4
98389,3,4,5
191500,4,4,3
196226,3,3,3
111190,5,5,3
45421,4,3,5
149900,5,5,4
123092,2,2,5
63407,4,5,4
21511,4,4,5
122993,5,3,3
108165,5,4,3
81506,3,5,5
166943,4,2,5
113699,4,4,5
45543,4,3,5
6324,4,4,2
50124,5,4,3
131409,1,3,1
117793,4,3,4
118549,2,4,2
26466,5,5,4
42057,3,5,3
80403,3,3,4
41921,4,5,3
124060,5,5,5
163121,3,4,4
49706,5,4,4
55287,4,4,1
172398,4,5,2
22056,4,4,3
160688,3,3,5
114803,1,5,4
198269,2,4,5
169202,4,3,5
106342,5,2,3
33010,1,5,5
151608,4,5,5
80502,4,4,4
26287,5,2,3
189891,5,5,4
194599,5,4,5
